,Airline Name,Date of journey,Source,Destination,Departure Time,Arrival Time,Duration,Total Stops,Price
0,Air Asia,"Wed, 6 Oct",New Delhi,Mumbai,12:40,20:15,7h 35m,1 Stop,"5,953"
1,Air Asia,"Wed, 6 Oct",New Delhi,Mumbai,11:55,20:15,8h 20m,1 Stop,"5,953"
2,Air Asia,"Wed, 6 Oct",New Delhi,Mumbai,08:00,16:35,8h 35m,1 Stop,"5,953"
3,Air Asia,"Wed, 6 Oct",New Delhi,Mumbai,04:55,14:15,9h 20m,1 Stop,"5,953"
4,Air Asia,"Wed, 6 Oct",New Delhi,Mumbai,05:20,20:15,14h 55m,1 Stop,"5,953"
5,Go First,"Wed, 6 Oct",New Delhi,Mumbai,09:40,11:45,2h 05m,Non Stop,"5,954"
6,Go First,"Wed, 6 Oct",New Delhi,Mumbai,14:20,16:25,2h 05m,Non Stop,"5,954"
7,Go First,"Wed, 6 Oct",New Delhi,Mumbai,18:40,20:45,2h 05m,Non Stop,"5,954"
8,Go First,"Wed, 6 Oct",New Delhi,Mumbai,21:30,23:35,2h 05m,Non Stop,"5,954"
9,Go First,"Wed, 6 Oct",New Delhi,Mumbai,17:45,22:25,4h 40m,1 Stop,"5,954"
10,Go First,"Wed, 6 Oct",New Delhi,Mumbai,08:10,13:00,4h 50m,1 Stop,"5,954"
11,Go First,"Wed, 6 Oct",New Delhi,Mumbai,16:10,21:05,4h 55m,1 Stop,"5,954"
12,Go First,"Wed, 6 Oct",New Delhi,Mumbai,08:10,14:55,6h 45m,1 Stop,"5,954"
13,Go First,"Wed, 6 Oct",New Delhi,Mumbai,11:20,18:15,6h 55m,1 Stop,"5,954"
14,Go First,"Wed, 6 Oct",New Delhi,Mumbai,09:10,18:15,9h 05m,1 Stop,"5,954"
15,Go First,"Wed, 6 Oct",New Delhi,Mumbai,06:00,15:25,9h 25m,1 Stop,"5,954"
16,Go First,"Wed, 6 Oct",New Delhi,Mumbai,08:00,18:15,10h 15m,1 Stop,"5,954"
17,Go First,"Wed, 6 Oct",New Delhi,Mumbai,19:45,"07:25
+ 1 day",11h 40m,1 Stop,"5,954"
18,Vistara,"Wed, 6 Oct",New Delhi,Mumbai,06:00,08:00,2h 00m,Non Stop,"5,955"
19,IndiGo,"Wed, 6 Oct",New Delhi,Mumbai,19:05,21:05,2h 00m,Non Stop,"5,955"
20,Air India,"Wed, 6 Oct",New Delhi,Mumbai,07:00,09:05,2h 05m,Non Stop,"5,955"
21,Vistara,"Wed, 6 Oct",New Delhi,Mumbai,09:30,11:35,2h 05m,Non Stop,"5,955"
22,IndiGo,"Wed, 6 Oct",New Delhi,Mumbai,12:00,14:05,2h 05m,Non Stop,"5,955"
23,IndiGo,"Wed, 6 Oct",New Delhi,Mumbai,14:00,16:05,2h 05m,Non Stop,"5,955"
24,IndiGo,"Wed, 6 Oct",New Delhi,Mumbai,20:30,22:35,2h 05m,Non Stop,"5,955"
25,IndiGo,"Wed, 6 Oct",New Delhi,Mumbai,06:10,08:20,2h 10m,Non Stop,"5,955"
26,Air India,"Wed, 6 Oct",New Delhi,Mumbai,08:00,10:10,2h 10m,Non Stop,"5,955"
27,IndiGo,"Wed, 6 Oct",New Delhi,Mumbai,08:55,11:05,2h 10m,Non Stop,"5,955"
28,Air India,"Wed, 6 Oct",New Delhi,Mumbai,10:40,12:50,2h 10m,Non Stop,"5,955"
29,Vistara,"Wed, 6 Oct",New Delhi,Mumbai,12:45,14:55,2h 10m,Non Stop,"5,955"
30,Vistara,"Wed, 6 Oct",New Delhi,Mumbai,15:30,17:40,2h 10m,Non Stop,"5,955"
31,Vistara,"Wed, 6 Oct",New Delhi,Mumbai,16:55,19:05,2h 10m,Non Stop,"5,955"
32,Air India,"Wed, 6 Oct",New Delhi,Mumbai,20:00,22:10,2h 10m,Non Stop,"5,955"
33,Vistara,"Wed, 6 Oct",New Delhi,Mumbai,20:50,23:00,2h 10m,Non Stop,"5,955"
34,IndiGo,"Wed, 6 Oct",New Delhi,Mumbai,21:55,"00:05
+ 1 day",2h 10m,Non Stop,"5,955"
35,SpiceJet,"Wed, 6 Oct",New Delhi,Mumbai,06:50,09:05,2h 15m,Non Stop,"5,955"
36,Air India,"Wed, 6 Oct",New Delhi,Mumbai,09:00,11:15,2h 15m,Non Stop,"5,955"
37,IndiGo,"Wed, 6 Oct",New Delhi,Mumbai,10:10,12:25,2h 15m,Non Stop,"5,955"
38,Vistara,"Wed, 6 Oct",New Delhi,Mumbai,10:20,12:35,2h 15m,Non Stop,"5,955"
